feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
PROP,1,0.5458102418720587,0.007195963174862745,0.00040846119344155454,0.1916956598742701,0.0016625261632957828,8.487947068039823e-05,MLP_best
Personas_0-3,1,0.5458102418720587,0.006677290945216804,0.0003671383716114302,0.1916956598742701,0.001550445615573462,8.748000114442088e-05,MLP_best
Personas_4-8,1,0.5458102418720587,0.005991653353026301,0.0002917119074297247,0.1916956598742701,0.0015324221609522791,5.5881452642943813e-05,MLP_best
Personas_9-12,1,0.5458102418720587,0.004536446710130563,0.00034626017384195855,0.1916956598742701,0.0011820178842409342,7.223984990073459e-05,MLP_best
Personas_13-17,1,0.5458102418720587,0.004342582020830669,0.0002724287907442979,0.1916956598742701,0.0011229171344056877,5.708139263012565e-05,MLP_best
Personas_18-24,1,0.5458102418720587,0.0037190910232205296,0.00024217313566930125,0.1916956598742701,0.0007884928388917763,6.503816110752982e-05,MLP_best
H15,1,0.5458102418720587,0.003145382280788704,0.0002155604450046175,0.1916956598742701,0.0007828651844051895,5.6065326719202365e-05,MLP_best
Reg_rk,1,0.5458102418720587,0.0026114834556332494,0.0003270249072053082,0.1916956598742701,0.0005026915480909713,7.525975744029044e-05,MLP_best
V01,1,0.5458102418720587,0.0019334975522044293,0.0001558146056535148,0.1916956598742701,0.0004858885677167043,3.526206479085855e-05,MLP_best
P05,1,0.5458102418720587,0.0013390997147363656,0.00015087266610797247,0.1916956598742701,0.0002733514854630757,3.9174754223559775e-05,MLP_best
ANO4,1,0.5458102418720587,0.0,0.0,0.1916956598742701,0.0,0.0,MLP_best
TRIMESTRE,1,0.5458102418720587,0.0,0.0,0.1916956598742701,0.0,0.0,MLP_best
